Incident Date,State,City Or County,# Incidents
June,Mississippi,Pascagoula,1.0
July,Michigan,Pontiac,1.0
December,Pennsylvania,Pittsburgh (Bloomfield),1.0
April,Louisiana,Baton Rouge,1.0
February,Louisiana,Westlake,1.0
July,Michigan,Alto,1.0
July,Washington,Kent (Covington),1.0
March,Kansas,Lawrence,1.0
October,New York,Rochester,1.0
June,Georgia,Brunswick,1.0
July,California,San Bernardino (Muscoy),1.0
July,Kansas,Lenexa,1.0
June,Pennsylvania,Saylorsburg,1.0
June,Missouri,Saint Joseph,1.0
May,California,Vallejo,1.0
August,Tennessee,Nashville,1.0
August,Nevada,Las Vegas,1.0
May,Florida,Lake Worth,2.0
July,Georgia,Warner Robins,1.0
July,Wisconsin,Russell,1.0
May,North Carolina,Wilmington,1.0
June,Texas,Big Spring,1.0
April,Washington,Morton,1.0
July,Texas,San Angelo,1.0
July,Tennessee,Knoxville,1.0
August,South Carolina,Columbia,1.0
March,Mississippi,Edwards,1.0
March,Michigan,Warren,1.0
August,Mississippi,Hattiesburg,1.0
July,Texas,Bacliff,1.0
January,Michigan,Merrill,2.0
May,Ohio,Wakeman,1.0
January,Mississippi,Oxford,1.0
June,Virginia,Stafford,1.0
May,Minnesota,Brainerd,1.0
July,Alabama,Samson,2.0
July,Tennessee,Memphis,1.0
July,California,Farmersville,3.0
December,New Mexico,Albuquerque,1.0
December,Alabama,Montgomery,1.0
July,Ohio,Cincinnati,1.0
September,Ohio,Fremont,1.0
March,Pennsylvania,Temple,1.0
March,Georgia,Atlanta,1.0
May,Louisiana,Monroe,1.0
April,Colorado,Olathe,1.0
May,Louisiana,Lake Charles (Moss Bluff),1.0
July,Maryland,Jessup,1.0
June,Kentucky,Campbellsville,1.0
July,Arizona,Mesa,1.0
April,Florida,Ocala,3.0
April,Arkansas,Jonesboro,1.0
March,Michigan,Detroit,1.0
April,Tennessee,Afton,1.0
July,Pennsylvania,Ephrata,2.0
June,Georgia,Riverdale,1.0
August,Louisiana,Shreveport,2.0
June,Texas,Houston,1.0
September,Texas,Garland,1.0
June,Washington,Bellevue,1.0
May,California,Fresno,2.0
June,Ohio,Columbus,1.0
June,Florida,Vero Beach,1.0
November,Tennessee,Memphis,1.0
July,Indiana,Hammond,1.0
February,Louisiana,Baker,1.0
July,Ohio,Newark,2.0
April,Georgia,Columbus,1.0
May,Pennsylvania,Lock Haven,1.0
May,Michigan,Detroit,1.0
July,Utah,Tooele,1.0
February,Ohio,Sandusky,1.0
March,Pennsylvania,Lancaster,1.0
May,California,Scotts Valley,1.0
June,Texas,Dayton,1.0
March,Mississippi,Oxford,1.0
July,California,Oakland,1.0
June,Arkansas,El Dorado,1.0
May,California,Santa Cruz,1.0
September,Texas,Manvel,1.0
August,South Carolina,Lexington,1.0
July,California,Fresno,1.0
January,Ohio,Youngstown,1.0
June,Pennsylvania,Chester,1.0
July,Mississippi,Louisville,1.0
April,Florida,Jacksonville,1.0
May,Louisiana,Longville,1.0
July,North Dakota,Minot,1.0
November,Louisiana,Arnaudville,1.0
August,California,Salinas,1.0
May,Texas,Waco,1.0
August,Indiana,Indianapolis,1.0
March,Florida,Miami,1.0
June,Louisiana,Farmerville (Rocky Branch),1.0
May,Oklahoma,Chickasha,1.0
March,Pennsylvania,Reading,1.0
October,Illinois,Chicago,1.0
August,Michigan,Pontiac,1.0
April,Indiana,Fort Wayne,2.0
May,Texas,Houston,2.0
May,Pennsylvania,Erie,1.0
June,Nevada,Las Vegas,3.0
July,Oregon,Blue River,1.0
April,Indiana,Monroe (county),2.0
April,Indiana,South Bend,1.0
July,Oklahoma,Tulsa,1.0
December,Kansas,Lawrence,1.0
December,Washington,Auburn,1.0
July,Florida,Wildwood,1.0
April,Florida,Big Pine Key,1.0
March,Virginia,Unionville,1.0
June,Louisiana,Shreveport,1.0
January,Mississippi,Jackson,1.0
February,Tennessee,Nashville,1.0
July,Michigan,Detroit,1.0
July,Washington,Renton,1.0
July,Georgia,Athens,1.0
June,Wisconsin,Milwaukee,1.0
May,Illinois,Rockford,1.0
September,Alaska,Manokotak,1.0
May,West Virginia,Charleston,1.0
May,Iowa,Council Bluffs,1.0
March,South Carolina,Easley,1.0
March,Oklahoma,Tulsa,1.0
January,Florida,Marianna,1.0
July,Alaska,Anchorage,1.0
May,Florida,Ocala,1.0
March,Illinois,Chicago,1.0
September,Montana,Pablo,1.0
April,Texas,Christine,2.0
June,Oklahoma,Tulsa,1.0
July,Colorado,Sedalia,1.0
July,Wisconsin,Madison,1.0
July,Michigan,Muskegon (Muskegon Heights),1.0
April,Tennessee,Butler,1.0
November,Ohio,Conneaut,1.0
March,Wisconsin,Milwaukee,1.0
May,Ohio,Minford,1.0
May,Massachusetts,South Hadley,1.0
July,Illinois,Chicago,1.0
May,Wisconsin,Ontario,1.0
April,Florida,Deltona,1.0
February,Florida,Orlando,1.0
April,Michigan,Marshall,1.0
July,Illinois,Des Plaines,1.0
February,Texas,Lubbock,1.0
November,Oregon,Roseburg,1.0
June,Tennessee,Lexington,1.0
April,Kansas,Overland Park,1.0
July,New York,Gowanda,1.0
July,Louisiana,Harvey,1.0
May,Massachusetts,Athol,1.0
June,Washington,Seattle (Seatac),1.0
November,Arizona,Phoenix,1.0
October,Kentucky,Somerset,1.0
January,California,Compton,1.0
June,Colorado,Lafayette,1.0
January,Alabama,Atmore,1.0
April,Washington,Pe Ell,1.0
December,Texas,Hillsboro,1.0
August,Florida,Pinellas Park,1.0
July,Arkansas,Benton (Haskell),1.0
March,Missouri,Saint Louis,1.0
March,Colorado,Arboles,1.0
July,West Virginia,Morgantown,1.0
June,Mississippi,Meridian,1.0
April,Ohio,Wickliffe,1.0
December,Alabama,Odenville,1.0
June,Tennessee,Harrogate,1.0
July,Wisconsin,Racine,1.0
July,Maine,Oakland,1.0
July,Maine,Baldwin,1.0
March,Florida,Wimauma,1.0
March,Pennsylvania,Easton (Forks Township),1.0
May,Illinois,Sparta,2.0
June,Arkansas,Conway,1.0
June,Iowa,Iowa City,1.0
March,New York,Rochester,1.0
